name|key
hydropower plant construction, run-of-river|2437876b15a87314845bd067d16e07ff
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted|2f03d1bac3b10a42971e6e50604b06f3
electricity production, photovoltaic, 570kWp open ground installation, multi-Si|76e0c047b06b47ef27284c4cef3ad5b7
market for transport, passenger car, medium size, liquefied petroleum gas, EURO 5|bdb2d67970740938728b5a736f0846fc
gypsum plasterboard production|41e2824b296b38e4f21c230f184a419a
market for waste polyurethane|1b89ed85b15b6c53085ff01f9c0989bc
market for diesel, low-sulfur|89c7b82feaf031e36647f1b528b5f8fa
transport, freight, lorry 3.5-7.5 metric ton, EURO5|15bd9b7581b5d5e13b251fc7bad4a7b5
maize silage production|0fd654859aac9f7ba0671961caa8a44f
maintenance, lorry 16 metric ton|ff3e6c74537f16e40aa629883511a326
garage construction, wood, non-insulated, fire-protected|11b1767cfae7b3763331891a0e9dd9ef
electricity, from municipal waste incineration to generic market for electricity, medium voltage|05ef3d322e7578ca0743db3544190c79
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted|075036cac313c2dcaafb60b0dac92d90
softwood forestry, paraná pine, sustainable forest management|0a446eec685e848998e671726c8701eb
wastewater treatment facility construction, capacity 1.6E8l/year|fc45bc10807a0c90abd38cbd683ef300
market for transport, passenger car, large size, petrol, EURO 5|7ef612eb77b366a740324c2e8968becf
market for rock crushing|719bc6b15590e05890f0a7215075ed38
market for water, decarbonised|efb118c0dc97dfe2c522a09be2160e19
market for sawnwood, lath, softwood, dried (u=10%), planed|7a21c0f5e81c47825b2981cbd1a5cded
market for transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO5, R134a refrigerant, freezing|e03eacde1ffd33a7c0b7ca1f08cc07b1
cement production, blast furnace slag 31-50% and 31-50% other alternative constituents|786e0ae74d7a485ba7f68a5f81320014
heat and power co-generation unit construction, 500kW electrical, components for electricity only|1a8e2e5f176c1b8572c7a940b1d8e5ca
electricity production, hydro, run-of-river|6403513f4a8ee02daad1849f4f14095a
